net,length_um
pe_row\[2\].pe_col\[2\].pe_inst.a_out\[6\],160.49
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[0\],160.065
_05404_,159.64
net425,159.03
_03894_,158.72
_09380_,158.635
_12500_,158.49
_06130_,158.3
_01508_,158.12
pe_row\[1\].pe_col\[1\].pe_inst.a_out\[3\],157.94
pe_row\[3\].pe_col\[1\].pe_inst.a_out\[5\],157.7
_09432_,157.35
_03890_,157.245
_01944_,157.24
_11338_,157.06
_09433_,156.84
_06978_,156.82
pe_row\[0\].pe_col\[1\].pe_inst.b_out\[1\],156.64
_10099_,156.46
pe_row\[0\].pe_col\[0\].pe_inst.b_out\[6\],156.42
_03118_,156.16
_07931_,156.075
_10197_,155.785
_09375_,155.565
_08604_,155.56
_13093_,155.43
net347,155.42
net59,155.4
net434,155.36
_02521_,155.355
_03149_,155.32
pe_row\[0\].pe_col\[3\].pe_inst.b_out\[6\],155.18
_03164_,155.035
_04617_,155
_00085_,154.955
_01480_,154.44
_02585_,153.93
_03964_,153.91
_00513_,153.51
pe_row\[2\].pe_col\[1\].pe_inst.b_out\[5\],153.46
pe_row\[3\].pe_col\[1\].pe_inst.a_out\[2\],152.82
pe_row\[2\].pe_col\[2\].pe_inst.a_out\[5\],152.32
_03123_,151.04
_03120_,150.7
_13092_,150.35
_01481_,149.48
_03133_,149.2
pe_row\[0\].pe_col\[2\].pe_inst.a_out\[4\],149.11
net472,148.94
_00871_,148.85
_02002_,148.8
_06293_,148.62
_04620_,148.61
_01971_,148.355
_03114_,148.34
_09299_,147.93
_02492_,147.52
_12967_,147.18
_01406_,146.96
_05305_,146.74
pe_row\[1\].pe_col\[3\].pe_inst.b_out\[4\],146.49
_10995_,146.31
_02384_,146.23
_01511_,145.91
_03758_,145.67
_11709_,145.31
_03145_,145.205
_10089_,145.12
_07734_,145.08
_03897_,144.92
_06118_,144.6
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[3\],144.56
_11687_,144.475
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[2\],144.36
pe_row\[0\].pe_col\[0\].pe_inst.b_out\[4\],144.34
_03756_,144.18
pe_row\[0\].pe_col\[1\].pe_inst.b_out\[2\],143.32
_09423_,143.03
_07021_,142.995
pe_row\[2\].pe_col\[2\].pe_inst.b_out\[6\],142.88
_06898_,142.74
_09392_,142.68
_01509_,142.58
pe_row\[0\].pe_col\[2\].pe_inst.a_out\[0\],142.58
_02786_,142.575
_07850_,142.48
_08617_,142.44
net5,142.3
_12845_,142.05
_05399_,142.02
_10184_,141.795
net103,141.78
pe_row\[2\].pe_col\[3\].pe_inst.b_out\[5\],141.38
pe_row\[0\].pe_col\[1\].pe_inst.b_in\[1\],140.775
_07038_,140.485
_07022_,140.42
_03885_,140.41
_09510_,140.39
pe_row\[0\].pe_col\[0\].pe_inst.a_out\[5\],140.38
pe_row\[1\].pe_col\[2\].pe_inst.b_out\[6\],140.28
_12162_,140.19
_04627_,140.11
net106,140.095
_10209_,140.02
_01510_,139.88
_07046_,139.86
_13108_,139.8
pe_row\[1\].pe_col\[1\].pe_inst.a_out\[4\],139.64
pe_row\[3\].pe_col\[2\].pe_inst.a_out\[0\],139.64
_07015_,139.47
_01492_,139.32
_03152_,139.19
_08627_,139.13
_07037_,139.12
_07094_,139.02
_07294_,138.88
_10227_,138.23
pe_row\[0\].pe_col\[0\].pe_inst.a_out\[2\],138.2
_07075_,138.095
_03229_,138.08
pe_row\[0\].pe_col\[3\].pe_inst.b_in\[5\],137.905
_09439_,137.815
net609,137.755
_01787_,137.51
_07914_,137.42
_03810_,137.23
